20,1,2,"[-0.02624303288757801, -0.22071146965026855, 0.018180664628744125, 0.31570154428482056, 1.0]",2,"{'Because it is more desirable to do action Push cart to the right, as the goal is to have Cart Position, '}"
20,2,1,"[-0.02624303288757801, -0.22071146965026855, 0.018180664628744125, 0.31570154428482056, 1.0]",2,"{'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual 0.018180664628744125) (counterfactual 0.018180664628744125), to have more Pole Angular Velocity (actual 0.31570154428482056) (counterfactual 0.31570154428482056), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual 0.31570154428482056) (counterfactual 0.31570154428482056), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual 0.018180664628744125) (counterfactual -0.047928467), to have more Pole Angular Velocity (actual 0.31570154428482056) (counterfactual -0.005053686), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual 0.31570154428482056) (counterfactual -0.005053686), to have more reward (actual 1.0) (counterfactual 0.9999992), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual -0.22071146965026855) (counterfactual -0.22071146965026855), to have more Pole Angular Velocity (actual 0.31570154428482056) (counterfactual 0.31570154428482056), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have less Cart Velocity (actual -0.22071146965026855) (counterfactual 0.04343215), to have more Pole Angular Velocity (actual 0.31570154428482056) (counterfactual -0.005053686), as the goal is to have Cart Position, '}"
19,1,2,"[-0.00866545271128416, 0.1757679432630539, -0.03701547160744667, -0.35235700011253357, 1.0]",1,"{'Because it is more desirable to do action Push cart to the right, as the goal is to have Cart Position, '}"
19,2,1,"[-0.00866545271128416, 0.1757679432630539, -0.03701547160744667, -0.35235700011253357, 1.0]",1,"{'Because it is more desirable to do action Push cart to the left, to have less Pole Angle (actual -0.03701547160744667) (counterfactual -0.003730543), to have less Pole Angular Velocity (actual -0.35235700011253357) (counterfactual -0.093723536), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual -0.35235700011253357) (counterfactual -0.35235700011253357), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual -0.03701547160744667) (counterfactual -0.03701547160744667), to have more Pole Angular Velocity (actual -0.35235700011253357) (counterfactual -0.35235700011253357), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual 0.1757679432630539) (counterfactual 0.1757679432630539), to have more Pole Angular Velocity (actual -0.35235700011253357) (counterfactual -0.35235700011253357), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual 0.1757679432630539) (counterfactual -0.13942946), to have less Pole Angular Velocity (actual -0.35235700011253357) (counterfactual -0.093723536), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have less Pole Angular Velocity (actual -0.35235700011253357) (counterfactual -0.093723536), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, '}"
22,1,2,"[-0.03944180905818939, 0.20474326610565186, 0.020698536187410355, -0.3306523263454437, 1.0]",1,"{'Because it is more desirable to do action Push cart to the right, as the goal is to have Cart Position, '}"
22,2,1,"[-0.03944180905818939, 0.20474326610565186, 0.020698536187410355, -0.3306523263454437, 1.0]",1,"{'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual -0.3306523263454437) (counterfactual -0.3306523263454437), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual 0.20474326610565186) (counterfactual -0.13348845), to have less Pole Angular Velocity (actual -0.3306523263454437) (counterfactual -0.0010088496), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual 0.020698536187410355) (counterfactual -0.0005004909), to have less Pole Angular Velocity (actual -0.3306523263454437) (counterfactual -0.0010088496), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have less Pole Angular Velocity (actual -0.3306523263454437) (counterfactual -0.0010088496), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual 0.20474326610565186) (counterfactual 0.20474326610565186), to have more Pole Angular Velocity (actual -0.3306523263454437) (counterfactual -0.3306523263454437), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual 0.020698536187410355) (counterfactual 0.020698536187410355), to have more Pole Angular Velocity (actual -0.3306523263454437) (counterfactual -0.3306523263454437), as the goal is to have Cart Position, '}"
25,1,2,"[-0.041860584169626236, -0.16467298567295074, -0.006421701051294804, 0.32063379883766174, 1.0]",2,"{'Because it is more desirable to do action Push cart to the right, as the goal is to have Cart Position, '}"
25,2,1,"[-0.041860584169626236, -0.16467298567295074, -0.006421701051294804, 0.32063379883766174, 1.0]",2,"{'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual -0.006421701051294804) (counterfactual -0.041681524), to have more Pole Angular Velocity (actual 0.32063379883766174) (counterfactual -0.044576164), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual 0.32063379883766174) (counterfactual 0.32063379883766174), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual 0.32063379883766174) (counterfactual -0.044576164), to have more reward (actual 1.0) (counterfactual 0.99999917), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual -0.006421701051294804) (counterfactual -0.006421701051294804), to have more Pole Angular Velocity (actual 0.32063379883766174) (counterfactual 0.32063379883766174), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual -0.16467298567295074) (counterfactual -0.16467298567295074), to have more Pole Angular Velocity (actual 0.32063379883766174) (counterfactual 0.32063379883766174), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have less Cart Velocity (actual -0.16467298567295074) (counterfactual 0.04478221), to have more Pole Angular Velocity (actual 0.32063379883766174) (counterfactual -0.044576164), as the goal is to have Cart Position, '}"
13,1,2,"[0.04860738292336464, -0.1894502341747284, -0.021929161623120308, 0.32946357131004333, 1.0]",2,"{'Because it is more desirable to do action Push cart to the right, as the goal is to have Cart Position, '}"
13,2,1,"[0.04860738292336464, -0.1894502341747284, -0.021929161623120308, 0.32946357131004333, 1.0]",2,"{'Because it is more desirable to do action Push cart to the left, to have less Cart Velocity (actual -0.1894502341747284) (counterfactual 0.047199104), to have more Pole Angular Velocity (actual 0.32946357131004333) (counterfactual -0.06948812), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual -0.021929161623120308) (counterfactual -0.044443592), to have more Pole Angular Velocity (actual 0.32946357131004333) (counterfactual -0.06948812), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angle (actual -0.021929161623120308) (counterfactual -0.021929161623120308), to have more Pole Angular Velocity (actual 0.32946357131004333) (counterfactual 0.32946357131004333), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual 0.32946357131004333) (counterfactual -0.06948812), to have more reward (actual 1.0) (counterfactual 0.99999917), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Cart Velocity (actual -0.1894502341747284) (counterfactual -0.1894502341747284), to have more Pole Angular Velocity (actual 0.32946357131004333) (counterfactual 0.32946357131004333), as the goal is to have Cart Position, ', 'Because it is more desirable to do action Push cart to the left, to have more Pole Angular Velocity (actual 0.32946357131004333) (counterfactual 0.32946357131004333), to have more reward (actual 1.0) (counterfactual 1.0), as the goal is to have Cart Position, '}"
